soil_type	season	state	crop
Clayey	Rabi	Nagaland	Pulses
Clayey	Rabi	Goa	Rice
Black	Zaid	Tripura	Sorghum
Sandy	Zaid	Sikkim	Watermelon
Mountain	Kharif	Jammu and Kashmir	Barley
Alluvial	Zaid	Arunachal Pradesh	Wheat
Loamy	Zaid	Sikkim	Barley
Alluvial	Rabi	West Bengal	Vegetables
Clayey	Kharif	Haryana	Rice
Alluvial	Rabi	Himachal Pradesh	Rice
Loamy	Kharif	Manipur	Wheat
Alluvial	Rabi	Sikkim	Vegetables
Laterite	Zaid	Karnataka	Tea
Clayey	Zaid	Maharashtra	Mustard
Laterite	Kharif	Odisha	Rubber
Alluvial	Kharif	Mizoram	Rice
Clayey	Zaid	Meghalaya	Rice
Black	Kharif	Arunachal Pradesh	Cotton
Loamy	Rabi	Arunachal Pradesh	Vegetables
Red	Rabi	Sikkim	Turmeric
Laterite	Zaid	Rajasthan	Cashew
Alluvial	Rabi	Goa	Sugarcane
Sandy	Kharif	Manipur	Chickpea
Laterite	Zaid	Gujarat	Rubber
Sandy	Rabi	Andhra Pradesh	Maize
Clayey	Kharif	Haryana	Rice
Laterite	Kharif	Karnataka	Arecanut
Clayey	Rabi	Maharashtra	Vegetables
Loamy	Rabi	Delhi	Sugarcane
Sandy	Zaid	Delhi	Maize
Sandy	Rabi	Haryana	Muskmelon
Mountain	Rabi	Madhya Pradesh	Tea
Mountain	Zaid	Mizoram	Potato
Laterite	Kharif	Delhi	Coffee
Black	Kharif	Andhra Pradesh	Groundnut
Clayey	Zaid	Assam	Vegetables
Arid	Kharif	Madhya Pradesh	Barley
Loamy	Kharif	Haryana	Rice
Mountain	Rabi	Manipur	Millet
Laterite	Rabi	Jammu and Kashmir	Coffee
Red	Rabi	Delhi	Turmeric
Laterite	Rabi	Haryana	Arecanut
Mountain	Rabi	Jharkhand	Millet
Arid	Kharif	Sikkim	Mustard
Alluvial	Kharif	Tripura	Rice
Sandy	Rabi	West Bengal	Maize
Loamy	Zaid	Mizoram	Jute
Laterite	Zaid	Delhi	Coffee
Arid	Kharif	Assam	Cumin
Black	Kharif	Punjab	Castor
Sandy	Zaid	Jammu and Kashmir	Muskmelon
Arid	Kharif	West Bengal	Cumin
Alluvial	Zaid	Rajasthan	Wheat
Sandy	Zaid	Assam	Muskmelon
Arid	Kharif	Rajasthan	Mustard
Clayey	Kharif	Arunachal Pradesh	Rice
Sandy	Kharif	Arunachal Pradesh	Muskmelon
Clayey	Kharif	Jharkhand	Pea
Red	Kharif	Tripura	Turmeric
Black	Kharif	Punjab	Sorghum
Clayey	Zaid	Jharkhand	Pea
Loamy	Kharif	Jharkhand	Rice
Black	Rabi	Chhattisgarh	Castor
Black	Zaid	West Bengal	Groundnut
Black	Kharif	Tamil Nadu	Groundnut
Mountain	Kharif	Assam	Tea
Sandy	Kharif	Delhi	Sunflower
Sandy	Zaid	Maharashtra	Wheat
Arid	Kharif	Kerala	Castor
Clayey	Rabi	Meghalaya	Vegetables
Red	Kharif	Haryana	Chilli
Loamy	Kharif	Rajasthan	Wheat
Mountain	Zaid	Madhya Pradesh	Apple
Mountain	Zaid	Uttar Pradesh	Apple
Loamy	Zaid	Punjab	Wheat
Mountain	Rabi	Karnataka	Potato
Mountain	Kharif	Gujarat	Barley
Sandy	Zaid	Assam	Sunflower
Arid	Rabi	Bihar	Mustard
Black	Kharif	Jammu and Kashmir	Sorghum
Loamy	Rabi	Himachal Pradesh	Barley
Sandy	Kharif	Madhya Pradesh	Maize
Arid	Rabi	Kerala	Castor
Sandy	Zaid	Andhra Pradesh	Sunflower
Loamy	Zaid	Assam	Barley
Arid	Kharif	Jharkhand	Barley
Mountain	Rabi	Meghalaya	Millet
Black	Zaid	Sikkim	Cotton
Red	Zaid	Sikkim	Paddy
Black	Zaid	Bihar	Castor
Alluvial	Kharif	Madhya Pradesh	Jute
Alluvial	Kharif	Delhi	Rice
Mountain	Rabi	Delhi	Tea
Red	Zaid	Manipur	Millet
Arid	Rabi	Uttar Pradesh	Mustard
Arid	Kharif	West Bengal	Mustard
Mountain	Rabi	Delhi	Apple
Black	Zaid	Arunachal Pradesh	Soybean
Laterite	Kharif	Himachal Pradesh	Cashew
Sandy	Rabi	West Bengal	Muskmelon
Sandy	Rabi	Mizoram	Muskmelon
Arid	Rabi	Tripura	Mustard
Loamy	Zaid	Telangana	Sugarcane
Black	Kharif	Meghalaya	Sorghum
Clayey	Rabi	Goa	Pea
Laterite	Kharif	Rajasthan	Cashew
Alluvial	Zaid	Manipur	Wheat
Clayey	Rabi	Tamil Nadu	Mustard
Alluvial	Zaid	Goa	Maize
Loamy	Rabi	Uttarakhand	Jute
Loamy	Zaid	Karnataka	Jute
Alluvial	Kharif	Uttarakhand	Rice
Arid	Zaid	Telangana	Barley
Black	Zaid	Maharashtra	Cotton
Loamy	Zaid	Gujarat	Sugarcane
Black	Rabi	Nagaland	Groundnut
Alluvial	Rabi	Himachal Pradesh	Wheat
Arid	Kharif	Odisha	Cumin
Clayey	Zaid	Gujarat	Pulses
Arid	Rabi	Uttar Pradesh	Moong
Arid	Zaid	Kerala	Moong
Sandy	Zaid	Punjab	Chickpea
Laterite	Zaid	Andhra Pradesh	Coconut
Laterite	Kharif	West Bengal	Rubber
Red	Zaid	Uttar Pradesh	Turmeric
Mountain	Zaid	Andhra Pradesh	Apple
Black	Zaid	Rajasthan	Cotton
Loamy	Zaid	Uttar Pradesh	Sugarcane
Black	Zaid	Kerala	Sorghum
Laterite	Rabi	Uttarakhand	Coconut
Clayey	Kharif	West Bengal	Vegetables
Clayey	Rabi	Karnataka	Vegetables
Sandy	Rabi	Manipur	Muskmelon
Mountain	Zaid	Jammu and Kashmir	Tea
Alluvial	Kharif	Madhya Pradesh	Vegetables
Clayey	Kharif	Madhya Pradesh	Vegetables
Black	Zaid	Haryana	Groundnut
Black	Rabi	Uttarakhand	Gram
Mountain	Zaid	Uttar Pradesh	Tea
Laterite	Kharif	Rajasthan	Coconut
Black	Rabi	Rajasthan	Soybean
Mountain	Rabi	Arunachal Pradesh	Barley
Laterite	Zaid	Gujarat	Coffee
Loamy	Kharif	Madhya Pradesh	Barley
Red	Zaid	Bihar	Paddy
Sandy	Kharif	Andhra Pradesh	Muskmelon
Loamy	Zaid	Haryana	Barley
Red	Zaid	Jharkhand	Ragi
Arid	Kharif	Manipur	Barley
Sandy	Zaid	Arunachal Pradesh	Maize
Loamy	Rabi	Meghalaya	Rice
Loamy	Kharif	Goa	Sugarcane
Mountain	Rabi	Gujarat	Potato
Arid	Kharif	Chhattisgarh	Bajra
Mountain	Rabi	West Bengal	Potato
Mountain	Zaid	Punjab	Millet
Red	Zaid	Andhra Pradesh	Ragi
Clayey	Zaid	Goa	Pulses
Clayey	Kharif	Bihar	Pulses
Clayey	Zaid	Tamil Nadu	Vegetables
Sandy	Rabi	Haryana	Muskmelon
Black	Kharif	Uttar Pradesh	Cotton
Sandy	Rabi	Andhra Pradesh	Watermelon
Red	Kharif	Uttar Pradesh	Millet
Sandy	Zaid	Madhya Pradesh	Wheat
Red	Kharif	Sikkim	Paddy
Loamy	Rabi	Gujarat	Rice
Sandy	Zaid	Punjab	Muskmelon
Mountain	Zaid	Rajasthan	Potato
Black	Kharif	Madhya Pradesh	Castor
Red	Zaid	Tripura	Paddy
Black	Rabi	Tripura	Sorghum
Black	Kharif	Jharkhand	Castor
Arid	Zaid	Gujarat	Moong
Clayey	Rabi	Uttarakhand	Mustard
Black	Rabi	Himachal Pradesh	Soybean
Mountain	Zaid	Himachal Pradesh	Barley
Red	Rabi	West Bengal	Lentil
Loamy	Rabi	Manipur	Rice
Sandy	Zaid	Bihar	Chickpea
Loamy	Rabi	Gujarat	Jute
Loamy	Kharif	Odisha	Wheat
Red	Rabi	Tamil Nadu	Chilli
Mountain	Rabi	Delhi	Tea
Mountain	Kharif	Maharashtra	Potato
Laterite	Kharif	Himachal Pradesh	Tea
Black	Zaid	Nagaland	Soybean
Red	Zaid	Tripura	Millet
Sandy	Rabi	Arunachal Pradesh	Maize
Arid	Zaid	Rajasthan	Barley
Sandy	Rabi	Uttar Pradesh	Maize
Laterite	Kharif	Maharashtra	Coffee
Arid	Rabi	Haryana	Mustard
Red	Rabi	Meghalaya	Chilli
Clayey	Rabi	Maharashtra	Pulses
Clayey	Rabi	Karnataka	Rice
Loamy	Kharif	Meghalaya	Vegetables
Arid	Kharif	Himachal Pradesh	Mustard
Red	Kharif	Mizoram	Millet
Loamy	Kharif	Bihar	Jute
Black	Zaid	Tripura	Gram
Arid	Rabi	Haryana	Bajra
Alluvial	Zaid	Meghalaya	Sugarcane
Black	Zaid	Rajasthan	Castor
Black	Rabi	Punjab	Gram
Alluvial	Zaid	Mizoram	Sugarcane
Clayey	Rabi	Madhya Pradesh	Vegetables
Mountain	Zaid	Bihar	Cherry
Mountain	Kharif	Chhattisgarh	Potato
Alluvial	Kharif	Rajasthan	Wheat
Loamy	Zaid	Jharkhand	Rice
Clayey	Kharif	Tripura	Pulses
Alluvial	Kharif	Arunachal Pradesh	Sugarcane
Black	Rabi	Bihar	Sorghum
Loamy	Zaid	Goa	Vegetables
Red	Rabi	Bihar	Ragi
Alluvial	Zaid	Arunachal Pradesh	Wheat
Alluvial	Kharif	Tripura	Maize
Mountain	Kharif	Himachal Pradesh	Apple
Red	Kharif	Sikkim	Chilli
Red	Kharif	Jharkhand	Lentil
Black	Rabi	Uttarakhand	Cotton
Laterite	Kharif	Jammu and Kashmir	Coffee
Laterite	Kharif	Maharashtra	Arecanut
Arid	Kharif	Telangana	Moong
Sandy	Rabi	Andhra Pradesh	Muskmelon
Alluvial	Kharif	Odisha	Jute
Red	Zaid	Uttar Pradesh	Ragi
Arid	Kharif	Odisha	Cumin
Clayey	Rabi	Jammu and Kashmir	Vegetables
Sandy	Kharif	Jharkhand	Maize
Sandy	Kharif	Himachal Pradesh	Maize
Loamy	Kharif	Punjab	Jute
Mountain	Kharif	Haryana	Tea
Loamy	Zaid	Delhi	Barley
Black	Zaid	Bihar	Sorghum
Black	Kharif	Tamil Nadu	Castor
Clayey	Rabi	Telangana	Mustard
Loamy	Rabi	Bihar	Vegetables
Red	Rabi	Telangana	Ragi
Clayey	Zaid	West Bengal	Rice
Loamy	Kharif	Odisha	Jute
Laterite	Zaid	Assam	Arecanut
Black	Zaid	Goa	Cotton
Black	Kharif	Assam	Sorghum
Red	Zaid	Rajasthan	Paddy
Black	Rabi	Kerala	Gram
Black	Rabi	Jammu and Kashmir	Sorghum
Clayey	Rabi	Arunachal Pradesh	Pulses
Laterite	Kharif	Mizoram	Rubber
Loamy	Rabi	Karnataka	Wheat
Mountain	Kharif	Meghalaya	Millet
Mountain	Zaid	Punjab	Barley
Black	Kharif	Bihar	Castor
Laterite	Zaid	Goa	Rubber
Black	Kharif	Kerala	Sorghum
Sandy	Kharif	Telangana	Wheat
Alluvial	Zaid	Odisha	Vegetables
Laterite	Rabi	Tamil Nadu	Rubber
Alluvial	Zaid	Manipur	Rice
Sandy	Zaid	Tripura	Chickpea
Clayey	Rabi	Meghalaya	Pea
Red	Zaid	Gujarat	Chilli
Black	Kharif	Uttarakhand	Soybean
Alluvial	Kharif	Bihar	Wheat
Black	Zaid	Meghalaya	Gram
Arid	Kharif	Odisha	Cumin
Sandy	Zaid	Punjab	Muskmelon
Red	Kharif	Tamil Nadu	Millet
Arid	Rabi	Punjab	Barley
Loamy	Kharif	Gujarat	Wheat
Black	Kharif	Meghalaya	Sorghum
Laterite	Kharif	Haryana	Arecanut
Black	Zaid	Maharashtra	Sorghum
Black	Rabi	Karnataka	Soybean
Arid	Rabi	Kerala	Bajra
Black	Rabi	Telangana	Soybean
Clayey	Rabi	Tripura	Pea
Loamy	Rabi	Andhra Pradesh	Sugarcane
Black	Rabi	Tamil Nadu	Castor
Black	Rabi	Punjab	Soybean
Red	Rabi	Odisha	Paddy
Sandy	Kharif	Odisha	Muskmelon
Mountain	Kharif	Delhi	Cherry
Black	Rabi	Maharashtra	Groundnut
Clayey	Zaid	Nagaland	Rice
Sandy	Kharif	Kerala	Muskmelon
Alluvial	Kharif	Himachal Pradesh	Wheat
Red	Zaid	Nagaland	Ragi
Clayey	Zaid	Gujarat	Vegetables
Sandy	Rabi	Uttar Pradesh	Muskmelon
Sandy	Kharif	Uttar Pradesh	Muskmelon
Alluvial	Zaid	West Bengal	Wheat
Black	Rabi	Karnataka	Gram
Clayey	Rabi	Gujarat	Pea
Red	Kharif	Maharashtra	Turmeric
Mountain	Rabi	Bihar	Apple
Arid	Rabi	Delhi	Bajra
Mountain	Rabi	Telangana	Cherry
Mountain	Rabi	Arunachal Pradesh	Apple
Mountain	Zaid	Manipur	Apple
Sandy	Rabi	Punjab	Chickpea
Laterite	Zaid	Rajasthan	Tea
Black	Kharif	Rajasthan	Gram
Clayey	Kharif	Jharkhand	Rice
Sandy	Zaid	Sikkim	Sunflower
Sandy	Kharif	Maharashtra	Muskmelon
Loamy	Kharif	West Bengal	Wheat
Loamy	Zaid	Goa	Vegetables
Alluvial	Zaid	Punjab	Rice
Black	Rabi	Kerala	Soybean
Sandy	Kharif	Assam	Watermelon
Clayey	Kharif	West Bengal	Rice
Arid	Zaid	Arunachal Pradesh	Cumin
Mountain	Kharif	Madhya Pradesh	Potato
Alluvial	Kharif	Nagaland	Vegetables
Sandy	Kharif	Telangana	Watermelon
Red	Rabi	Chhattisgarh	Paddy
Black	Zaid	Chhattisgarh	Cotton
Loamy	Kharif	Maharashtra	Rice
Red	Rabi	Kerala	Lentil
Loamy	Rabi	Uttar Pradesh	Sugarcane
Laterite	Zaid	Kerala	Rubber
Red	Rabi	Rajasthan	Millet
Mountain	Zaid	Kerala	Cherry
Alluvial	Zaid	Punjab	Sugarcane
Clayey	Zaid	Telangana	Pulses
Arid	Zaid	Haryana	Mustard
Clayey	Zaid	Assam	Vegetables
Loamy	Zaid	Uttar Pradesh	Barley
Alluvial	Kharif	Jharkhand	Wheat
Clayey	Kharif	Meghalaya	Pulses
Red	Kharif	Uttar Pradesh	Millet
Black	Kharif	Karnataka	Cotton
Laterite	Rabi	Meghalaya	Rubber
Arid	Rabi	Haryana	Castor
Clayey	Rabi	West Bengal	Rice
Alluvial	Zaid	Delhi	Rice
Loamy	Kharif	Goa	Jute
Laterite	Zaid	Kerala	Cashew
Red	Zaid	Uttarakhand	Paddy
Alluvial	Rabi	Andhra Pradesh	Rice
Red	Kharif	Bihar	Chilli
Loamy	Rabi	Nagaland	Vegetables
Alluvial	Zaid	Delhi	Wheat
Loamy	Kharif	Jammu and Kashmir	Vegetables
Black	Zaid	Andhra Pradesh	Groundnut
Arid	Zaid	Arunachal Pradesh	Bajra
Alluvial	Kharif	Punjab	Sugarcane
Loamy	Rabi	Jharkhand	Wheat
Laterite	Kharif	West Bengal	Cashew
Sandy	Zaid	Gujarat	Wheat
Sandy	Kharif	Tripura	Wheat
Mountain	Rabi	Chhattisgarh	Apple
Laterite	Kharif	Kerala	Arecanut
Alluvial	Kharif	Andhra Pradesh	Rice
Laterite	Kharif	Manipur	Arecanut
Alluvial	Zaid	Karnataka	Jute
Alluvial	Kharif	Arunachal Pradesh	Wheat
Loamy	Rabi	Arunachal Pradesh	Barley
Sandy	Rabi	Andhra Pradesh	Chickpea
Clayey	Rabi	Assam	Mustard
Mountain	Rabi	Madhya Pradesh	Barley
Red	Rabi	Jharkhand	Chilli
Sandy	Zaid	Madhya Pradesh	Muskmelon
Laterite	Zaid	Meghalaya	Coconut
Arid	Rabi	Rajasthan	Cumin
Alluvial	Rabi	Telangana	Rice
Sandy	Rabi	Sikkim	Maize
Red	Kharif	Chhattisgarh	Millet
Laterite	Kharif	Tripura	Tea
Clayey	Kharif	Punjab	Rice
Black	Zaid	Chhattisgarh	Castor
Arid	Kharif	Goa	Moong
Arid	Rabi	Arunachal Pradesh	Moong
Black	Kharif	Karnataka	Castor
Clayey	Rabi	Jammu and Kashmir	Rice
Clayey	Kharif	Mizoram	Vegetables
Alluvial	Zaid	Punjab	Sugarcane
Mountain	Rabi	Tamil Nadu	Barley
Loamy	Zaid	Maharashtra	Sugarcane
Red	Zaid	Nagaland	Chilli
Laterite	Rabi	Goa	Tea
Laterite	Kharif	Haryana	Coconut
Laterite	Kharif	Gujarat	Coconut
Arid	Zaid	Sikkim	Barley
Loamy	Zaid	Delhi	Jute
Alluvial	Kharif	Manipur	Vegetables
Loamy	Zaid	Tamil Nadu	Wheat
Arid	Zaid	Maharashtra	Mustard
Black	Zaid	Punjab	Castor
Laterite	Rabi	Madhya Pradesh	Cashew
Alluvial	Zaid	Uttar Pradesh	Jute
Black	Rabi	Karnataka	Groundnut
Arid	Zaid	Jammu and Kashmir	Bajra
Arid	Rabi	Andhra Pradesh	Castor
Mountain	Zaid	Tripura	Tea
Loamy	Zaid	Haryana	Jute
Arid	Zaid	Meghalaya	Castor
Alluvial	Kharif	Goa	Vegetables
Sandy	Zaid	Karnataka	Sunflower
Mountain	Zaid	Himachal Pradesh	Barley
Loamy	Kharif	Kerala	Barley
Alluvial	Zaid	Nagaland	Wheat
Laterite	Kharif	Jharkhand	Cashew
Mountain	Rabi	Tamil Nadu	Cherry
Sandy	Kharif	Jammu and Kashmir	Sunflower
Black	Zaid	Nagaland	Sorghum
Mountain	Zaid	Maharashtra	Barley
Laterite	Zaid	Gujarat	Rubber
Alluvial	Rabi	Delhi	Maize
Clayey	Rabi	Uttarakhand	Pulses
Clayey	Rabi	Karnataka	Vegetables
Alluvial	Kharif	Maharashtra	Vegetables
Laterite	Zaid	Maharashtra	Arecanut
Red	Zaid	Odisha	Turmeric
Red	Kharif	Andhra Pradesh	Ragi
Laterite	Rabi	Jharkhand	Coconut
Sandy	Rabi	Chhattisgarh	Muskmelon
Mountain	Kharif	Uttar Pradesh	Tea
Laterite	Zaid	Telangana	Coffee
Clayey	Zaid	Maharashtra	Vegetables
Clayey	Rabi	Bihar	Mustard
Red	Kharif	Maharashtra	Lentil
Laterite	Kharif	West Bengal	Coffee
Laterite	Rabi	West Bengal	Arecanut
Arid	Kharif	Karnataka	Moong
Alluvial	Rabi	Himachal Pradesh	Sugarcane
Red	Zaid	Punjab	Turmeric
Loamy	Kharif	Nagaland	Rice
Arid	Kharif	Bihar	Cumin
Alluvial	Rabi	Karnataka	Sugarcane
Laterite	Rabi	Bihar	Rubber
Black	Zaid	Arunachal Pradesh	Groundnut
Black	Rabi	Nagaland	Cotton
Laterite	Rabi	Telangana	Arecanut
Sandy	Rabi	Bihar	Wheat
Clayey	Kharif	Uttarakhand	Mustard
Laterite	Kharif	West Bengal	Cashew
Black	Kharif	Jammu and Kashmir	Soybean
Red	Zaid	Tripura	Turmeric
Mountain	Rabi	West Bengal	Apple
Loamy	Rabi	Madhya Pradesh	Sugarcane
Alluvial	Kharif	Rajasthan	Rice
Sandy	Kharif	Telangana	Chickpea
Laterite	Rabi	Punjab	Rubber
Mountain	Zaid	Rajasthan	Cherry
Mountain	Rabi	Gujarat	Millet
Loamy	Rabi	Jammu and Kashmir	Sugarcane
Loamy	Zaid	Himachal Pradesh	Vegetables
Red	Kharif	Sikkim	Chilli
Alluvial	Zaid	Bihar	Wheat
Mountain	Kharif	Bihar	Cherry
Arid	Rabi	Arunachal Pradesh	Castor
Loamy	Rabi	Kerala	Rice
Sandy	Kharif	Tripura	Maize
Alluvial	Kharif	Tripura	Rice
Clayey	Zaid	Assam	Pea
Alluvial	Rabi	Maharashtra	Rice
Sandy	Rabi	Andhra Pradesh	Sunflower
Mountain	Zaid	Meghalaya	Potato
Alluvial	Kharif	Odisha	Wheat
Red	Rabi	Kerala	Paddy
Arid	Kharif	Nagaland	Barley
Arid	Zaid	Nagaland	Castor
Mountain	Rabi	Punjab	Potato
Mountain	Rabi	Odisha	Tea
Mountain	Rabi	Jharkhand	Millet
Clayey	Zaid	Rajasthan	Pea
Clayey	Kharif	Jammu and Kashmir	Mustard
Red	Rabi	Karnataka	Paddy
Mountain	Rabi	Goa	Potato
Alluvial	Zaid	Tripura	Wheat
Black	Kharif	Himachal Pradesh	Castor
Arid	Kharif	Sikkim	Castor
Clayey	Rabi	Punjab	Vegetables
Black	Kharif	Punjab	Sorghum
Alluvial	Zaid	West Bengal	Rice
Red	Rabi	Uttar Pradesh	Lentil
Laterite	Rabi	Maharashtra	Arecanut
Loamy	Kharif	Haryana	Vegetables
Clayey	Rabi	Uttar Pradesh	Vegetables
Black	Kharif	West Bengal	Soybean
Arid	Rabi	Arunachal Pradesh	Moong
Clayey	Zaid	Delhi	Pulses
Arid	Kharif	Mizoram	Cumin
Sandy	Rabi	Nagaland	Muskmelon
Loamy	Kharif	Odisha	Wheat
Red	Rabi	Telangana	Chilli
Loamy	Kharif	Tripura	Vegetables
Arid	Kharif	Madhya Pradesh	Castor
Black	Zaid	Goa	Castor
Laterite	Zaid	Haryana	Rubber
Black	Rabi	Assam	Groundnut
Red	Rabi	Gujarat	Paddy
Clayey	Zaid	Tripura	Pea
Sandy	Kharif	Andhra Pradesh	Muskmelon
Loamy	Rabi	Tamil Nadu	Rice
